id,lat,lon,historic,name
367853384,41.9936737,21.433319,monument,Питу Гули
367860262,42.0032812,21.4233737,monument,Гоце Делчев
369750026,42.0008716,21.4338778,city_gate,Влез на Скопското кале
373488269,42.0195738,20.960153,ruins,Тетовско Кале
382635381,41.4325212,22.0228463,monument,Костурница
390757439,41.1155576,20.7914836,archaeological_site,Лихнид
410115784,41.3377228,21.257898,monument,Мечкин Камен
410115785,41.3880768,21.2273776,monument,Слива
444334991,41.9188903,22.4069917,monument,Споменик на слободата
473902990,42.2916094,22.3507979,monument,WWII Battle - 17th Macedonian Brigade vs Bulgarian army
495558836,41.1776616,20.679835,monument,Споменик на Револуцијата
908273421,41.9959035,21.4314474,monument,Споменик на Александар Македонски
1475328742,42.0586697,21.3527926,archaeological_site,Rimska crkva
1475331129,42.0843452,21.3548716,archaeological_site,Давина Кула
1475333181,42.0587494,21.2786993,archaeological_site,Голема Кула - Кучково
1475333182,42.0585741,21.2844339,archaeological_site,Мала Кула - Кучково
1708412126,42.1355189,21.7200501,monument,Zena
1734593430,42.0766913,21.398848,archaeological_site,Gradiste kaj s.Brazda
1831180502,41.9505936,21.2991931,monument,Манастир Св. Андреј
1857486060,42.0017233,21.4617772,monument,Филип Втори
1859114111,41.9984602,21.4349949,memorial,Филип II Македонски
1866944575,41.9983057,21.4254968,memorial,Св. Климент Охридски
1867151652,41.9993163,21.437162,memorial,Скендербег
1867606193,40.8570205,21.1195933,monument,Маркова Нога
1879436069,42.1706665,21.809838,archaeological_site,Костоперска Карпа
1879461479,42.2633818,21.953118,archaeological_site,Кокино
1995790447,42.1355778,21.7194275,monument,Јосип Броз - Тито
2015829492,41.4094203,22.2541295,ruins,Марков Град
2024605291,42.2782511,21.8500367,memorial,Меморијален центар АСНОМ
2026119373,41.794932,20.9108574,monument,Sahat Kula
2026891418,42.1068795,21.1545235,ruins,Орашко Кале
2026911763,41.5119269,20.9702432,monument,Саат кула
2026930302,41.7140782,21.7840512,monument,Саат кула
2026975410,41.2775784,22.4937679,archaeological_site,Isar / Idomenae
2136716883,42.1346962,21.7192303,monument,Куде сат
2189840728,41.3451182,21.5519842,monument,Народен Херој Кузман Јосифоски-Питу
2189840898,41.3451518,21.554267,monument,Пеце Атанасоски
2189840958,41.3452617,21.5522173,monument,Ѓорче Петров
2268500979,41.3748344,21.2480535,tomb,Питу Гули
2268500995,41.3748686,21.2482546,tomb,Тоше Проески
2269431831,41.3736665,21.2463296,monument,Никола Карев
2316156278,41.024615,21.3368929,memorial,Стефан Наумов-Стив
2327281126,41.3649692,21.2497316,monument,Споменик на Питу Гули
2330629820,41.3653856,21.2484409,monument,Наум Наумоски-Борче
2350137461,41.5516379,21.9751675,ruins,Римски театар
2360747213,41.1458586,22.5001795,monument,Два Коња
2373710718,42.0836218,21.9862589,archaeological_site,Цоцев Камен
2545342051,40.9765203,20.9119981,monument,Преспанско Советување
2598104053,41.3475544,21.5564074,monument,Карпалак
2616082758,42.1491368,21.7853235,memorial,Zebrnjak
2759245083,41.1126936,20.7995376,monument,Свети Климент Охридски
2759253188,41.1120476,20.799994,monument,Свети Кирил и Методиј
2759263738,41.1122955,20.7990226,monument,Свети Наум Охридски Чудотворец
2795154377,41.1124606,20.7977703,city_gate,Долна Порта
2829462221,42.0853984,21.9627449,archaeological_site,Мачка камен
2851570672,41.4182291,21.0770931,monument,Христо Узунов
3011061690,41.0596796,20.8135106,wayside_shrine,Sv. Nikola
3039854149,41.9062629,20.9636151,monument,Споменик на жртви од НОВ
3409068903,41.3460556,21.5524989,monument,Александар Македонски
3409068904,41.3462544,21.5528281,monument,Методија Андонов-Ченто
3409074126,41.3462194,21.553243,monument,Св. Никола
3418320912,41.822914,21.7360635,memorial,Масакр кај Пуста Кула
3456913802,41.3434323,21.5479723,monument,Карпалак 2001
3457966074,41.3341123,21.554646,monument,Крипта
3642663981,41.345456,21.5548417,monument,Итар Пејо
3694881124,41.975162,22.8187714,monument,Dedo Jakim - Mill
3694922580,41.9769054,22.8193451,monument,Ilin Kamen
3695208787,41.9668611,22.7768724,monument,Гоце Делчев (Биста)
3695208788,41.9643843,22.7742882,monument,Гоце Делчев
3695770497,41.9653801,22.7716387,monument,Споменик на паднати борци во НОБ
3696656682,41.9425359,22.7954411,monument,Кула
3713662739,41.9952169,21.426153,memorial,Josip Broz Tito
3951819342,41.9682709,21.4313461,ruins,Маркови Кули
4078676807,41.139367,22.5093733,monument,Леонид Јанков
4128156209,41.9977079,21.4339766,memorial,Св. Кирил и Методиј
4128156210,41.9975624,21.4341509,memorial,Св. Климент Охридски и Наум Охридски Чудотворец
4149143991,41.9953917,21.4313414,memorial,Цар Самоил
4161113452,41.9964949,21.4321474,memorial,Даме Груев
4161113453,41.9968799,21.4323054,memorial,Јустинијан I
4161249330,41.9979046,21.4344182,memorial,Олимпија
4183631289,41.993303,21.4337226,monument,Прометеј
4242928035,41.9834333,21.439106,monument,Тодор Александров
4266031693,41.986749,21.4369668,monument,Стара Рампа
4271160712,41.9936684,21.4317487,monument,Бегова кула
4278022934,41.4166941,22.7549207,monument,Гоце Делчев
4306447780,41.3661079,21.6749495,memorial,Борка Талески-Модерното / Лазо Филиповски-Лавски
4351691820,40.9142149,20.7412554,memorial,Свети Наум
4357166289,41.736405,22.1903758,monument,Споменик на загинатите евреи
4365876494,42.000853,21.4375046,monument,Мустафа-пашина џамија
4378846992,41.9130467,21.4333848,castle,Vila Varvarka
4380846206,41.9949279,21.4108745,monument,Споменик на Јуриј Гагарин
4386764089,41.9930188,21.4332009,monument,Никола Карев
4477202789,42.0016804,21.4283664,monument,Вера Јоциќ
4575831104,41.3455416,21.5532375,monument,Марко Мрњавчевиќ
4575841428,41.3450704,21.5505634,monument,Круме Кепески
4575841429,41.3451329,21.5506707,monument,Блаже Конески
4575841430,41.3451792,21.5505581,monument,Марко Цепенков
4585716598,41.5130946,20.9663459,castle,Китино Кале
4745413067,41.2788101,20.7836677,memorial,Ботун
4751492691,41.158263,22.5006786,monument,Споменик на слободата
4907386415,41.3738524,21.5025867,monument,Борецот
4972835907,41.1736526,20.6783749,monument,Сергеј Есенин
5055432425,42.0769461,22.1823517,monument,Емин-бегова кула
5055432426,42.0768838,22.1826261,monument,Крстева кула
5055444424,41.1949939,22.6878453,monument,Споменик „Солунски фронт“ од I светска војна
5055444426,42.0768628,22.1822635,monument,Хаџикостова кула
5055455123,42.0792053,22.1818109,monument,Саат-кула
5055455125,42.0788289,22.1809805,monument,Златковичева кула
5055455126,42.0786957,22.1794714,monument,Симиќева кула
5098505521,41.4409796,22.6796979,monument,Струмица-Кристал-64
5115436809,41.1142035,20.7958058,tomb,Григор Прличев
5297308190,40.8878546,20.9724068,monument,Monument Kulture
5327471601,41.006774,21.3415263,yes,Св. Троица
5551410939,41.1755185,20.6781791,memorial,Јово Стефановски - Риле
5596272451,41.05924,20.8033957,wayside_shrine,Св. Благовештение
5711419372,41.9963577,21.4323793,memorial,Гоце Делчев
5722266446,42.1003011,21.9665342,archaeological_site,Konjuh
5724919828,42.0949995,21.9658672,ruins,Rotonda Konjuh
5724929432,42.0995746,21.9606298,wayside_shrine,Bosko Chapel
5725139643,41.7995125,22.289829,archaeological_site,Bargala
5728312945,41.3825161,22.7542141,archaeological_site,Roman Bathhouse
5812672954,42.0169571,21.4434502,monument,Doma
5901740885,41.9952759,21.4319995,memorial,Спомен плоча на Мајка Тереза
5926438456,41.1057278,20.8078335,memorial,Ард ден Долард
5932385385,41.958616,21.4422187,castle,Резиденцијата Главинов
6054048485,41.9957136,21.4306041,memorial,Методија Андонов - Ченто
6136130985,41.9974433,20.9681527,monument,terminal mitnitsa tetovo
6136130988,41.9885405,21.2926787,monument,patarina-160
6337100523,41.8289715,21.9562049,monument,Kanda - Geoglif Sv. Nikole
6349721704,41.7213441,22.6569551,memorial,Споменик на Малешевскиот (Малешки) народноослободителен одред
6418857588,41.0043725,20.9282003,archaeological_site,Кале
6471416045,41.9856377,22.5905605,archaeological_site,Калата
6535106716,41.6952366,21.628172,archaeological_site,Бањичко Кале
6563726510,41.3747079,20.7630424,monument,Mirče Acev Bataljon
6833101185,41.1120953,20.795694,memorial,Коста Абраш
6837039795,41.1124032,20.8071328,memorial,Henry Dunant
6901630767,41.2754595,21.3684104,monument,Љубе Грујоски
7124138432,41.1857198,22.7227512,monument,Споменик на Дојрана
7124138466,41.1825947,22.7233826,monument,Чешма Света Петка
7475537800,41.3724643,21.5605466,memorial,Дабнички масакр
7504362426,41.2064953,21.6536957,monument,Толе Паша
7508523395,42.022416,21.5476216,memorial,Ацо Ангеловски
7508523396,42.0225556,21.5480468,memorial,Кирил Петрушевски
7508523397,42.0227044,21.5486015,memorial,Ерол Готак
7564103281,41.9764851,21.1660504,memorial,Нане Наумоски
7564103282,41.977847,21.1773385,memorial,Сашо Китаноски
7564103283,41.97753,21.1679024,memorial,Бранко Секулоски
7564125585,41.9781971,21.1745241,memorial,Горан Миноски
7564125586,41.977893,21.1713626,memorial,Марко Деспотоски
7564125587,41.9767167,21.1675604,memorial,Ердован Шабаноски
7564125588,41.9772958,21.1694976,memorial,Љубе Грујоски
7564125589,41.9770406,21.1717935,memorial,Дарко Велјаноски
7564125590,41.9767893,21.1747438,memorial,Веби Рушитоски
7564125591,41.977042,21.1770879,memorial,Пеце Секулоски
7623493347,41.3575814,21.6256855,memorial,Карпалак
7626158238,41.4014262,22.0284286,memorial,Масакр во Ваташа
7626874879,41.3428704,21.5583071,tomb,Пере Тошев
7771077503,41.4436592,20.8721449,memorial,Duko Tasev
7796229745,41.4831122,20.9229426,monument,Гоце Делчев
7796229746,41.483575,20.9222623,monument,Христо Узунов
7817956982,41.1150206,20.7949057,city_gate,Горна Порта
7826733791,41.4528994,20.9658462,battlefield,Битката на Ѓурѓејца
7833094677,41.8646892,21.942062,monument,Споменик Св. Никола
7833095397,41.8644645,21.9410121,monument,Споменик „Лазар Колишевски“
7836134125,41.8627557,21.9386585,memorial,Св. Илија
7947878810,41.9156602,22.412778,monument,Споменик на Никола Карев
8048135011,41.3464944,21.5629735,memorial,Кире Гаврилоски-Јане / Круме Волнароски-Коља
8063563409,41.3421058,21.5572532,memorial,Александар Македонски
8193704891,41.3761727,21.2464617,memorial,Мирослав Јоксимовиќ
8279921462,41.3653786,21.2488407,monument,Кица Петрески
8412381211,41.366045,20.6489384,memorial,1. Бригада
8433354043,41.9998632,21.4292436,monument,Ослободителите на Скопје
8677386085,42.0673767,20.9185104,monument,Вејце
8880547039,41.9998618,21.4485415,monument,Генерал Михаило Апостолски
8883349543,41.9988251,21.4506665,memorial,Генерал Михајло Апостолски
8883349544,41.9960184,21.4412009,monument,Krste Petkov Misirkov
8883349545,41.9960802,21.4408764,monument,Blaže Koneski
8944545329,41.0108476,21.3208996,wayside_shrine,Св. Георгиј
8951219184,41.1119818,20.799333,monument,Фаќач на чесниот крст
9026624343,41.9945304,21.4326511,monument,Павел Шатев
9078062189,41.993726,21.4332709,memorial,Невена Георгиева-Дуња
9080920713,42.0640097,21.0288552,monument,Ѓоко Лазаревски
9080921338,42.0700178,21.027212,tomb,Теодорит
9086030878,42.0669654,21.0282911,tomb,Кирил Пејчиновиќ-Тетоец
9086030879,42.0668701,21.0285176,monument,Загинати Лешочани во војните 1903-2001
9200215821,41.1141534,20.798276,memorial,Нада Филева
9200216569,42.0043082,21.4185013,memorial,Dane kraptzew
9269907745,41.9918182,21.4296159,memorial,Атентат на Киро Глигоров
